query,time_seconds
1,0.30319129999952565
2,0.033911499999703665
3,0.03055679999943095
4,0.029921199999989767
5,0.033679400000437454
6,0.027426000000559725
7,0.030671299999994517
8,0.03254560000004858
9,0.031183000000055472
10,0.0315349000002243
11,0.032537399999455374
12,0.031458999999813386
13,0.03728300000057061
14,0.03201890000036656
15,0.03670369999963441
16,0.032842300000083924
17,0.030243300000620366
18,0.02757259999998496
19,0.029397100000096543
20,0.029310200000509212
21,0.03238679999958549
22,0.03327429999990272
23,0.03071170000021084
24,0.040882799999963026
25,0.033773899999687274
26,0.030710199999703036
27,0.03038300000025629
28,0.027853899999172427
29,0.027779500000178814
30,0.030169999999998254
31,0.03704069999912463
32,0.031979800000044634
33,0.0474238000006153
34,0.03834579999966081
35,0.03002660000038304
36,0.028147899999567016
37,0.03297429999929591
38,0.02957440000045608
39,0.031020600000374543
40,0.04226699999981065
41,0.03910320000068168
42,0.03256689999943774
43,0.03243399999973917
44,0.03389499999957479
45,0.03168699999969249
46,0.029299300000275252
47,0.02886359999956767
48,0.029978399999890826
49,0.03183100000023842
50,0.030753300000469608
51,0.0326641000001473
52,0.03301149999970221
53,0.04647410000052332
54,0.03250330000082613
55,0.03279920000022685
56,0.038594199999351986
57,0.042500599999584665
58,0.035418899999967834
59,0.0384278000001359
60,0.035397999999986496
61,0.039589799999703246
62,0.030316100000163715
63,0.03119299999980285
64,0.029630600000018603
65,0.03314169999976002
66,0.04008460000022751
67,0.0356709999996383
68,0.03403809999963414
69,0.03970339999978023
70,0.03249210000012681
71,0.03455560000020341
72,0.034530699999777426
73,0.0320795999996335
74,0.03211690000080125
75,0.03434960000049614
76,0.03775880000011966
77,0.03393750000032014
78,0.035533500000383356
79,0.033332299999528914
80,0.030922900000405207
81,0.03210659999967902
82,0.03140030000031402
83,0.0350257000000056
84,0.03285710000000108
85,0.036865900000520924
86,0.03239010000015696
87,0.03345629999967059
88,0.028219300000273506
89,0.03166450000026089
90,0.031979699999283184
91,0.04301870000017516
92,0.03415839999979653
93,0.029427799999211857
94,0.03491120000035153
95,0.031136900000092282
96,0.029332899999644724
97,0.034858400000302936
98,0.038557399999263
99,0.031252100000529026
100,0.037456200000633544
